payer_id,payer_name,payer_alias,hint_host,default_state_or_region,default_line_of_business,seed_paths,extra_hosts,notes
1,UnitedHealthcare,UHC,uhcprovider.com,National,Multiple,/policies-and-protocols|/en/policies-protocols.html|/en/prior-auth-advance-notification.html|/en/resource-library/drug-lists-pharmacy.html,uhc.com,Large public policy library under /content/dam; robots.txt is a CMS debug dump with no rules
2,Horizon Blue Cross Blue Shield of New Jersey,Horizon BCBSNJ,horizonblue.com,NJ,Multiple,/providers/policies-procedures|/providers/policies-procedures/medical-policies,horizonnjhealth.com,Imperva/Incapsula bot wall answers 200 with a challenge body; expect a block
3,Cigna Healthcare,Cigna,cigna.com,National,Multiple,/health-care-providers/coverage-and-claims/policies|/health-care-providers/pharmacy/formulary-drug-lists|/health-care-providers/coverage-and-claims,cignaforhcp.cigna.com|static.cigna.com|legacy.cigna.com,Coverage policy PDFs on static.cigna.com; robots.txt disallows /sites/ and legacy.cigna.com entirely
4,UPMC Health Plan,UPMC,upmchealthplan.com,PA,Multiple,/providers/medical/resources|/providers|/formulary,upmc.com,Provider resources publish many PDFs; a number of linked PDFs are dead links on their side (404)
5,Elevance Health (Anthem),Anthem,anthem.com,Multiple,Multiple,/provider/policies|/provider/policies/medical-policy,elevancehealth.com|providers.anthem.com|antheminc.com,Akamai stalls non-browser clients; robots.txt itself times out so we must stay out
6,CareSource,CareSource,caresource.com,OH|GA|IN|KY|WV,Medicaid,/providers/policies|/providers/tools-resources,,Answers 406 Not Acceptable to every request regardless of Accept header; expect a block
7,Centene Corporation,Centene,centene.com,National,Medicaid,/providers,healthnet.com|ambetterhealth.com|wellcare.com,Holding company - the operating brands publish the policies; corporate site is a CAPTCHA-walled newsroom
8,Geisinger Health Plan,Geisinger,geisinger.org,PA,Multiple,/health-plan/providers|/health-plan/providers/policies,thehealthplan.com,Provider section redirected to a CloudFront maintenance page during this run
9,Highmark,Highmark,highmark.com,PA|WV|DE|NY,Multiple,https://securecms.highmark.com/content/medpolicy/en/highmark/pa/commercial.html|/western-pennsylvania/medical-policy|/central-pennsylvania/medical-policy,securecms.highmark.com|highmarkbcbs.com,Medical policy CMS lives on securecms.highmark.com; seeded there by absolute URL
10,BlueCross BlueShield of Tennessee,BCBST,bcbst.com,TN,Multiple,/providers/policies-guidelines|/providers,provider.bcbst.com,Returns 403 for robots.txt on both bare and www hosts; we cannot read the rules so we stay out
